CID|FirstName|LastName|City|AddressLine1|SocialSecurityNumber
16250|Samuel|Gonzalez|Spokane|1085 Ash Lane|1317024468
4935|Devin|Martin|Los Angeles|1085 Greenbelt Way|1904627718
4824|Lucas|Baker|National City|1086 Ash Lane|2129073404
19927|Kathryn|Goel|Berks|1086 Clayton Road|2101214274
10601|Andrea|Wright|Olympia|1086 Rose Dr.|382605363
10510|Madeline|King|Novato|1087 Knollview Court|147507080
16189|Tina|Sai|Goulburn|1087 Park Tree Ct.|5218751
6544|Ryan|Ross|Bury|1088 Ash Lane|1614070156
16579|Kara|Anand|Hawthorne|1088 Ash Lane|1782037237
11842|Gerald|Madan|London|109 Clayton Road|211115961
2415|Lisa|Chen|Les Ulis|109, avenue des Ternes|1399997305
15337|Richard|Morris|Vancouver|1090 El Dorado Way|1133563243
15702|Adam|Edwards|Lemon Grove|1091 Bloching Circle|1310258295
20736|Morgan|Butler|Port Hammond|1092 Boxer Blvd|1201413824
17922|Ethan|Anderson|Oakland|1092 Pinole Valley Rd.|1880398171
11049|Julia|Anderson|San Gabriel|1093 Gatter Court|922352771
13075|Madison|Henderson|San Diego|1093 Via Romero|841780747
6453|Logan|Powell|Oregon City|1094 Loveridge Circle|710095201
14980|Randall|Serrano|Seaford|1095 Collins Drive|1164072764
6280|Austin|Yang|Kirkland|1097 Kulani Lane|1112710880
18133|Randy|Zhang|Peterborough|1098 Lawton Street|1290829214
17812|Nathan|Wilson|Langley|1099 C Street|1192996169
11490|Destiny|Moore|Redmond|1099 Catalpa Court|53904189
4140|Kurt|Luo|Les Ulis|10bis, rue des Peupliers|1922857471
16947|Adam|Hernandez|Mill Valley|11 Sunrise Drive|1960919194
17121|Mitchell|Deng|Colombes|11, allée des Princes|1105807406
19648|Cassandra|Sanchez|Lieusaint|11, avenue de la Gare|1524319757
20404|Peter|She|Saint Ouen|11, avenue de la Gare|796289523
15375|Brenda|Mehta|Paris|11, avenue du Port|1865145006
16134|Molly|Malhotra|Bobigny|11, avenue du Président-Kennedy|2005432124
13957|Wendy|Ramos|Morangis|11, avenue du Président-Kennedy|938014210
16273|Bethany|Beck|Paris La Defense|11, avenue du Président-Kennedy|2073830944
16248|Denise|Raman|Roubaix|11, avenue du Président-Kennedy|1461335401
17921|Ethan|Taylor|Saint-Denis|11, avenue du Président-Kennedy|1632380167
19898|Christine|Raji|Saint Germain en Laye|11, boulevard Tremblay|520373013
14532|Mathew|Dominguez|Paris|11, place de la République|223539389
8970|Michelle|Cooper|Bobigny|11, quai de l´ Iton|810158317
6481|Ernest|Liang|Courbevoie|11, quai de l´ Iton|1399262458
17933|Benjamin|Davis|Lille|11, quai de l´ Iton|1308932056
15905|Johnathan|Gonzalez|Paris|11, quai de l´ Iton|1852430059
7466|Dominique|Patel|Paris|11, quai de l´ Iton|1492195057
9054|Maurice|Xu|Roissy en Brie|11, quai de l´ Iton|97007062
20616|Katie|Shan|Saint Ouen|11, quai de l´ Iton|656003916
20140|Shannon|Dominguez|Orly|11, rue de Cambrai|1342708774
19699|Kristina|Smith|Paris|11, rue de Cambrai|1807370868
7606|Alexandria|Henderson|Esher-Molesey|11, rue de la Cavalerie|925571693
20513|Dwayne|Gutierrez|Boulogne-Billancourt|11, rue de l'Espace De Schengen|1136561149
14204|Charles|Kelly|Paris|11, rue de l'Espace De Schengen|605988604
20477|Corey|Goel|Verrieres Le Buisson|11, rue de l'Espace De Schengen|1365156939
9752|Arturo|Chen|Saint Germain en Laye|11, rue de Maubeuge|434150197
11275|Ruben|Gill|Lieusaint|11, rue de Terre Neuve|639127899
11332|Grace|Walker|Villeneuve-d'Ascq|11, rue de Terre Neuve|547497111
4614|Kate|Nara|Saint-Denis|11, rue Descartes|538488494
4046|Stanley|Subram|Versailles|11, rue Descartes|101082435
16460|Misty|Yuan|Sèvres|11, rue du Départ|483403670
20163|Phillip|Prasad|Colombes|11, rue du Puits Dixme|1915799122
18893|Whitney|Madan|Courbevoie|11, rue du Puits Dixme|1550573276
13365|Willie|He|Drancy|11, rue du Puits Dixme|2113872813
6413|Ramon|Zhou|Orleans|11, rue du Puits Dixme|158983781
19832|Jasmine|Brooks|Paris|11, rue du Puits Dixme|1603694942
19987|Tara|Yuan|Paris|11, rue du Puits Dixme|1289712203
2646|Heather|He|Roissy en Brie|11, rue Henri Gagnon|1604445417
14373|Anne|Torres|Metz|11, rue Philibert-Delorme|1044410911
15696|Marc|Ferrier|Drancy|11, rue Saint Denis|37080759
7840|Sergio|Martinez|Paris|11, rue Villedo|921061082
14621|Clinton|Romero|Hervey Bay|110 E. Watson Court|26339906
12670|Elizabeth|Long|Sooke|110 E. Watson Court|1045407902
9607|Rebecca|Turner|Brisbane|110 Katherine Drive|1120491196
5874|Claudia|Sun|Gateshead|110, boulevard Beau Marchais|1472871950
5324|Eric|Jai|Lynnwood|1101, rue Lauriston|1405900729
17643|Sandra|Li|Lancaster|1102 Geary Ct|1467415173
66|Karan|Khanna|Seattle|1102 Ravenwood|55751829
7526|Carla|Van|Sèvres|1102, rue Maillard|1348414727
5554|Caleb|Washington|Versailles|1102, rue Maillard|1590166264
2804|Alfredo|Navarro|Paris|1103, rue Lamarck|9297901
18543|Leslie|Sanz|Burien|1104 Colton Ln|973613557
7984|Michelle|Kelly|Corvallis|1104 Colton Ln|350246888
6572|Ryan|Russell|Coronado|1104 O St.|105149194
17953|Vincent|Zhao|Colma|1105 Meadowbrook Drive|1844885662
17619|Cameron|Jones|Olympia|1105 Meadowbrook Drive|1552196161
2887|Harold|Fernandez|London|1105 N. 48th St|1557629673
11888|Emma|Lee|Shawnee|1105 O St.|1961274650
5734|Mandy|Liu|Bracknell|1106 Pine Creek Way|647135881
18148|David|Walker|Lincoln Acres|1106 Pine Creek Way|1523306760
19220|Brianna|Gray|Cliffside|1107 La Corte Bonita|1273454503
9409|Brad|Chander|Hervey Bay|1108 Cactus Court|1419753224
2715|Max|Sanz|Colombes|111, boulevard du Montparnasse|906009444
16480|Misty|Nara|Roubaix|111, quai Paul Doumer|743407147
4191|Tommy|Tang|Versailles|111, rue Maillard|728398861
6158|Latasha|Carlson|Colomiers|111, rue Marbeuf|1186322559
2976|Katherine|Simmons|Palo Alto|1111 Bayview Cr|1104614859
5145|Karl|Jai|Colomiers|1111, rue de Longchamp|142331134
8258|Dominic|Sanchez|Roncq|1111, rue Ste-Honoré|991664873
13705|Devin|Patterson|Sedro Woolley|1112 Roehlidge Lane|1374748877
10739|Arturo|Anand|Saint Germain en Laye|1112, rue des Grands Champs|938102703
3271|Maria|Jenkins|Newport Beach|1113 Catherine Way|1327124619
8212|Melanie|Peterson|Lake Oswego|1113 Ready Road|270186634
14648|Jamie|Moreno|Oxford|1113 Ready Road|603550307
13168|Spencer|Bryant|Spring Valley|1114 Laurel|1394027935
14882|Seth|Howard|Lake Oswego|1119 Elderwood Dr.|341596178
3392|Mayra|Prasad|Birmingham|1119 Elderwood Dr.|817759101
8048|Terrance|Jordan|London|112 Kathleen Drive|1258690206
20570|Kristin|Xie|Pantin|112, avenue du Québec|304480164
6272|Janet|Suarez|Sèvres|112, avenue du Québec|1816724571
13068|Louis|She|Saint-Denis|112, boulevard Tremblay|2073825688
10312|Allison|Adams|Roubaix|112, rue Faubourg St Antoine|1337696178
10882|Bruce|Ramos|Dunkerque|112, rue Marbeuf|598302860
10195|Julia|Green|Sedro Woolley|1120 Curtis Drive|620302785
13646|Edward|Hughes|Vancouver|1120 Jeff Ct.|443985330
6820|Tyrone|Ramos|Colma|1121 Boynton Avenue|1490186327
20182|Alyssa|Ross|Issaquah|1121 Boynton Avenue|1863694278
17669|Sandra|Gao|Cambridge|1121 Ferry Street|308333552
10546|Morgan|Wright|Everett|1121 Ferry Street|205293752
9567|Sara|Roberts|Spokane|1121 Serrano Way|354280581
7669|Angela|Washington|W. Linn|1127 Leewood Place|1657613998
9958|Jordan|Carter|Coronado|1127 Oak Street|1861606490
20674|Morgan|Rivera|Salem|1127 Wellington Avenue|852710785
15810|Troy|Rana|Paris|113, rue Ste-Honoré|956070043
9785|Amanda|Parker|Port Hammond|1130 Fillet Ave.|533645012
16930|Jerry|Ferrier|Bellflower|1132 Plymouth Dr.|765339740
7559|Kelly|Simmons|Portland|1133 Concord Place|986363502
17791|Candice|Chow|Burnaby|1133 Leisure Lane|252118879
5213|Jack|Zimmerman|Sooke|1133 Leisure Lane|1061802198
16636|Alison|Shen|Springwood|1134 Concord Pl.|1218329383
11435|Nicole|Brown|Stoke-on-Trent|1135 W St.|581600887
8429|Michele|Goel|Hawthorne|1136 Lane Way|71765995
20416|Peter|Sharma|Lieusaint|114, quai Paul Doumer|482665733
7506|Isabelle|Ross|Port Hammond|1140 Panoramic Drive|543071593
17596|James|Jones|Fremont|1141 Hale Court|615200521
12915|Jaclyn|Wu|London|1141 Panoramic Dr.|1456485018
12910|Aidan|Powell|Spring Valley|1141 Panoramic Dr.|1261703117
7820|Faith|Patterson|Glendale|1141 Rolling Hill Way|802005366
12703|Kayla|Wood|Downey|1142 Firestone Dr.|1161660683
14174|Sabrina|Romero|Melton|1142 Firestone Dr.|849253237
19046|Lauren|Powell|Oak Bay|1143 Julpum Loop|1583294894
270|François|Ajenstat|Issaquah|1144 Paradise Ct.|885218891
16879|Russell|Raji|Berkeley|1144 Paraiso Ct.|1063365002
12228|Dawn|Raje|Morangis|1144, rue Ste-Honoré|1276277271
13978|Joanna|Romero|Lille|1144/118 rue Faubourg St Antoine|1153320545
18776|Joshua|Taylor|Langley|1145 Paraiso Ct.|148054998
20487|Jennifer|Price|Newport Beach|1147 Mellowood Street|568217624
19872|Byron|Rubio|Berks|1148 Thornwood Drive|1723257401
2866|Sydney|Sanders|Corvallis|1148 Thornwood Drive|973173613
4838|Charles|Johnston|Lynnwood|115 Pine Creek Way|247343304
4809|Alvin|She|Lavender Bay|115 Santa Fe Street|2057338461
18939|Chelsea|Madan|Saint-Denis|115, quai Paul Doumer|986446957
2890|Sydney|Washington|Bendigo|1153 Loma Linda|807400415
19258|Victor|Sanz|St. Leonards|1154 Regina Lane|1698107225
14283|Devin|Bennett|W. Linn|1154 Regina Lane|1748042376
7857|Frederick|Vance|Paris|1155, rue Ste-Honoré|1483849175
14160|Sabrina|Hernandez|Beaverton|1156 Corte Poquito|1626444198
13594|Blake|Jenkins|Runcorn|1156 Dublin Court|1450397138
10129|Marie|Sanz|Watford|1156 Dublin Court|1269787428
14996|Isaiah|Bell|Bremerton|1157 Chilpancingo Pk.|268624587
19298|Erik|Suarez|Colma|1157 Chilpancingo Pk.|1257834286
16380|Latoya|Yuan|Les Ulis|1157, rue Marbeuf|1618584433
10805|Marshall|Li|Coffs Harbour|1158 Roundtree Place|1163837275
9355|Jenna|Edwards|Santa Monica|1159 Filling Ave.|152172522
14940|Randall|Gomez|Wollongong|1159 Lacassie Ave|693968146
3200|Hailey|Hughes|San Francisco|1159 LaCrosse Ave|1590981571
20124|Alyssa|Bradley|Bobigny|116, boulevard d´Albi|1704872375
11968|Damien|Luo|Metz|116, boulevard d´Albi|1020030081
2821|Alexandra|Gonzales|Port Orchard|1160 Bella Avenue|1060248793
19126|Derrick|Serrano|Hervey Bay|1160 Camelback Road|223860052
5442|Luis|Hughes|Oak Bay|1160 Via Del Sol|1900104002
17230|Naomi|Ruiz|Springwood|1160 Via Del Sol|2132459286
8959|Danielle|Cooper|Burbank|1161 Daffodil Dr.|1354020777
4982|Rosa|He|Milton Keynes|1161 Daffodil Dr.|317582853
19915|Kathryn|Sharma|Burnaby|1161 Pine Hollow Road|996057492
3815|Wyatt|Perez|Walla Walla|1162 Park Glenn|1334788921
6470|Ernest|Zhao|Seaford|1162 Relief Valley Ct|84316125
10532|Kaylee|King|Oregon City|1162 Thunderbird Drive|1171151420
9454|Danielle|Stewart|Santa Monica|1163 Bella Vista|618145393
9421|Mackenzie|Collins|Coronado|1164 Bell Drive|1548404780
5992|Samuel|Coleman|Langford|1164 Glenview Drive|712670078
15889|Johnathan|Sai|Chula Vista|1168 Escobar|628546235
20654|Morgan|Rogers|Woodland Hills|1168 Escobar|2138942498
14343|Kristy|Suarez|Lane Cove|117 Marvello Lane|770761925
15441|Cole|Reed|Peterborough|117 Marvello Lane|1284048412
5960|Nathan|Simmons|Glendale|1170 Shaw Rd|1552480375
12242|Emily|Thomas|Cliffside|1172 Flamingo Dr.|925537379
5657|Darryl|Hu|London|1172 Flamingo Dr.|613094068
15596|Timothy|Parker|Sydney|1173 Dale Pl.|1796274946
5228|Jack|Jai|Downey|1174 Ayers Rd|772947525
20597|Katie|She|Matraville|1174 Royal Ann Lane|102715322
11581|Barbara|Zeng|Sydney|1176 Oily Road|614678206
12106|Kelli|Xu|Burien|1177 Oily Road|1631486520
9611|Mary|Turner|Shawnee|1178 Flora Ave.|872028884
16655|Alison|Pal|Gold Coast|1178 Sandy Blvd.|1966921923
16212|Luis|Baker|Yakima|1178 Sandy Blvd.|858641522
19948|Kelvin|Cai|Bobigny|118, rue Faubourg St Antoine|2126048366
8725|Gilbert|Yang|Colombes|118, rue Marbeuf|1497487316
18815|Meghan|Carlson|Suresnes|118, rue Marbeuf|450252239
2743|Kelvin|Lal|Villeneuve-d'Ascq|118, rue Marbeuf|46451211
6661|David|Long|West Covina|1180 Rhea Ct|1254299066
2478|Erica|Wu|Colombes|11802, rue Surcouf|804764741
19411|Douglas|Vance|Berks|1183 Royal Links Circle|394744038
6790|Caroline|Flores|Grossmont|1183 Royal Links Circle|326334717
15672|Jimmy|Rubio|Berkshire|1183 Tono Lane|961934111
12690|Elizabeth|Alexander|Townsville|1183 Tono Lane|2003234939
22|Sariya|Harnpadoungsataya|Everett|1185 Dallas Drive|1570363868
18832|Matthew|Taylor|Novato|1185 Dallis Drive|364418388
14547|Mathew|Suarez|Paris|119, quai Paul Doumer|1437887541
20008|Tara|Chande|Orleans|119, rue Faubourg St Antoine|486758348
20591|Kristin|Goel|Villeneuve-d'Ascq|119, rue Marbeuf|1616552646
19530|Emma|Sandberg|Concord|1190 Hill Top Rd.|649493040
19491|Emma|Reed|Burbank|1191 Boxwood Dr.|867928883
13446|Colin|Lu|Oxford|1191 Boxwood Dr.|1472131719
19657|Patricia|Patel|Esher-Molesey|1192 A St.|1939315083
14779|Danny|Schmidt|Townsville|1192 Tosca Way|1246811732
3820|Cesar|Prasad|North Ryde|1197 Santa Barbara|449316948
16654|Gloria|Sanz|Sèvres|12, avenue du Port|1185122010
20126|Ronald|Prasad|Lieusaint|12, avenue Foch|1845647931
9905|Sierra|Nelson|Royal Oak|12, avenue Foch|258425242
